AddressL1,City,State,Outcode,Incode,Lat,Long
7385 North Livingston Ave,Innisfail,AB,T4G,S4J,52.029,-113.9474
512 1st Avenue,Whitehorse,Yukon,Y1A,P7G,60.7227,-135.0534
214 High Point St,Caledonia,ON,N3W,S1R,43.0776,-79.9639
48 E Gulf Drive,Lepreau,NB,E5J,Y9N,45.2116,-66.3491
641 Creekside Court,Campobello Island,NB,E5E,X9E,44.887,-66.95
8555 Country Road,Acton,ON,L7J,Y5C,43.634,-80.0491
7257 Pulaski Rd,Essex,ON,N8M,G5X,42.1754,-82.8226
9 East Belmont Street,Kingsville,ON,N9Y,T6H,42.0377,-82.7394
268 Oak Valley Road,Dalhousie,NB,E8C,G0A,48.0477,-66.4004
27 Johnson Lane,Alder Point,NS,B1Y,V4K,46.1811,-60.5067
10 Marshall Street,Mercier,QC,J6R,V8B,45.3063,-73.748
759 E Rocky River Court,Cobourg,ON,K9A,H1H,43.9851,-78.1621
264 Fifth St,Morden,MB,R6M,Y1E,49.1861,-98.1204
13 E Logan Dr,Cowansville,QC,J2K,M9B,45.2214,-72.7567
8 Grandrose Court,Qualicum Beach,BC,V9K,E1G,49.3506,-124.409
357 E Philmont Dr,Penticton,BC,V2A,T3E,49.5031,-119.5905
67 Prairie Street,Milton,ON,L9T,X7P,43.5034,-79.8773
779 Circle Avenue,Riverview,NB,E1B,H9H,46.0738,-64.755
890 Creekside Ave,Acton,ON,L7J,B0M,43.634,-80.0491
68 Hanover St,Stephenville,LB,A2N,V1L,48.5656,-58.6
540 E Middle River Ave,Kitimat,BC,V8C,B9M,54.0662,-128.6508
259 Birchwood St,Canmore,AB,T1W,N2L,51.0868,-115.3384
590 Wayne St,Courtice,ON,L1E,N2R,43.914,-78.6925
8316 King St,Lamèque,NB,E8T,C5K,47.792,-64.652
37 Race St,Athabasca,AB,T9S,G4E,54.7139,-113.2942
57 Wayne Street,New Waterford,NS,B1H,N1P,46.2295,-60.0941
457 Andover Drive,Greenfield Park,QC,J4V,B8M,45.4926,-73.4473
269 Ketch Harbour Street,Cocagne,NB,E4R,H0T,46.2324,-64.785
70 NE Chapel St,Neguac,NB,E9G,C6Y,47.2316,-65.1378
91 Shirley Dr,Espanola,ON,P5E,M0B,46.2629,-81.7719
97 Andover Lane,Cowansville,QC,J2K,K6H,45.2214,-72.7567
7288 Eagle Rd,Coaldale,AB,T1M,P0J,49.7285,-112.6146
848 W Woodland Drive,Cobourg,ON,K9A,R8L,43.9851,-78.1621
83 West Glen Eagles Drive,Port Colborne,ON,L3K,R9N,42.8754,-79.237
25 Wentworth Dr,Hinton,AB,T7V,E1J,53.3981,-117.5552
934 Nicolls Street,Hébertville,QC,G8N,A1S,48.3942,-71.6775
116 Pine Rd,Amherstburg,ON,N9V,K8G,42.1106,-83.1115
7206 Princess Drive,Yellowknife,NT,X1A,R6E,62.4725,-114.3417
517 Rockaway St,Tour de la Bourse,QC,H4Z,B5G,45.5003,-73.5621
379 Howard St,Fort Frances,ON,P9A,C1G,48.6075,-93.3869
8659 Homestead St,Deer Lake,LB,A8A,T1G,49.1778,-57.413
536 Old Anderson Rd,Torbay,LB,A1K,J1S,47.6542,-52.7367
719 Pine St,Ste. Anne,MB,R5H,C3L,49.6667,-96.648
53 Blackburn St,Winkler,MB,R6W,T3K,49.1859,-97.9396
235 Piper Ave,Thetford Mines,QC,G6G,G4K,46.1134,-71.3108
7131 Spruce Ave,Caraquet,NB,E1W,C7X,47.7624,-65.0324
7405 Carson St,Gravenhurst,ON,P1P,H8G,44.9451,-79.3549
81 Bay Drive,Cobourg,ON,K9A,C0Y,43.9851,-78.1621
845 Littleton St,Langley City,BC,V3A,N0T,49.0764,-122.6797
770 Penn Ave,Doaktown,NB,E9C,N5L,46.4477,-66.2584
7893 Vale St,Whitecourt,AB,T7S,Y4C,54.1407,-115.6873
375 W Pine Court,Burtts Corner,NB,E6L,K3B,46.12,-66.9477
8503 New Saddle Ave,Vermilion,AB,T9X,N0P,53.3515,-110.8451
448 Talbot Dr,Smiths Creek,NB,E4G,H0K,45.9078,-65.5334
797 Washington Lane,Petitcodiac,NB,E4Z,M2S,45.751,-65.048
8592 Roosevelt Dr,La Plaine,QC,J7M,V8K,45.7915,-73.7559
124 West Plymouth Ave,Terrace,BC,V8G,N2M,54.5058,-128.5823
234 Meadowbrook Rd,Deer Lake,LB,A8A,H3E,49.1778,-57.413
8197 West Applegate Ave,Kingston,ON,E5S,R9K,45.3571,-66.0858
158 Santa Clara Court,Russell,ON,K4R,X9C,45.2573,-75.3675
7154 Pumpkin Hill Drive,Williams Lake,BC,V2G,M0B,52.1276,-122.1271
46 South Bald Hill Street,Stouffville,ON,L4A,L5T,43.9707,-79.2503
450 Fairground Street,Moores Mills,NB,E5A,X5L,45.2441,-66.9929
906 Virginia Ave,Marion Bridge,NS,B1K,T7B,46.1309,-60.1864
732 Monroe Street,Windsor,LB,A2B,M3B,48.949,-55.6725
9766 Vine Lane,Buckingham,QC,J8L,C0R,45.599,-75.4206
541 Virginia Ave,Kentville,NS,B4N,T2T,45.0899,-64.4963
41 Deerfield St,Carbonear,LB,A1Y,J5P,48.9268,-55.6613
59 Wood Ave,Mercier,QC,J6R,K3G,45.3063,-73.748
11 East Clark Ave,Grand Falls,LB,A2A,P0S,48.9249,-55.6493
526 Clinton Ave,Summerside,PE,C1N,V4G,46.3907,-63.7868
69 Cactus Street,Port Hawkesbury,NS,B9A,K9H,45.612,-61.3486
623 Blackburn Street,Flin Flon,MB,R8A,Y9E,54.76,-101.8704
79 Trusel Avenue,Swift Current,SK,S9H,B0B,50.2875,-107.8113
288 Woodside Lane,Napanee,ON,K7R,A6J,44.2538,-76.943
146 Berkshire Street,Chatham,QC,J8G,X0X,45.6068,-74.4387
8720 Church St,High River,AB,T1V,P9V,50.5775,-113.8747
114 Jefferson Drive,Kingston,NB,E5S,S0G,45.3571,-66.0858
7903 Longfellow Ave,Stephenville,LB,A2N,T2N,48.5656,-58.6
959 Warren Dr,Meaford,ON,N4L,P7K,44.6079,-80.5922
8196 Gonzales St,Stratford,PE,C1B,V4C,46.2067,-63.0729
264 NW Wood St,Whitehorse,Yukon,Y1A,J8X,60.7227,-135.0534
786 Augusta St,Lavaltrie,QC,J5T,T7V,45.905,-73.2594
9861 Oxford St,Leduc,AB,T9E,A3K,53.2524,-113.5388
46 Ocean St,Cowansville,QC,J2K,S4K,45.2214,-72.7567
866 Cedar St,Boucherville,QC,J4B,B3T,45.5685,-73.423
7524 Fremont Drive,Gaspé,QC,G4X,R9P,48.8319,-64.4813
47 N Hillside Ave,Lindsay,ON,K9V,M3R,44.3512,-78.7192
8792 West Applegate Street,Fourchu,NS,B2J,E5G,45.3747,-63.2951
11 N Queen Lane,Port Hawkesbury,NS,B9A,X1K,45.612,-61.3486
903 Glen Ridge Street,Maisonneuve,QC,H1V,E3S,45.5702,-73.551
671 Van Dyke Drive,Inkerman,NB,E8P,R8K,47.6656,-64.9543
8477 Saxton Street,La Malbaie,QC,G5A,V6N,47.6259,-70.0967
9322 East Canal Drive,Coaldale,AB,T1M,P9N,49.7285,-112.6146
899 Hamilton Drive,Smiths Falls,ON,K7A,J9A,44.8995,-76.021
970 Valley St,Innisfail,AB,T4G,A8C,52.029,-113.9474
7755 North Union St,Cartier,MB,R4K,H4A,49.8298,-97.7549
31 Ridgeview Avenue,Neguac,NB,E9G,T2G,47.2316,-65.1378
97 Beechwood Court,Port Colborne,ON,L3K,M2V,42.8754,-79.237
620 Bear Hill Drive,Inkerman,NB,E8P,G7A,47.6656,-64.9543
18 Stillwater Road,Maple,ON,L6A,A4H,43.857,-79.514
9221 St Paul St,Wallaceburg,ON,N8A,Y0L,42.5799,-82.3823
935 Brookside Ave,Espanola,ON,P5E,N2A,46.2629,-81.7719
35 W Hanover Ave,Lantz,NS,B2S,N4V,44.9775,-63.4209
7492 Boston St,Maniwaki,QC,J9E,V8B,46.3741,-75.9823
267 Old Bayberry St,Brockville,ON,K6V,H3M,44.5906,-75.6808
2 Evergreen Ave,Prince Rupert,BC,V8J,G9G,54.3146,-130.3413
86 Lower River Ave,Ville Émard,QC,H4E,M0K,45.468,-73.5863
616 Armstrong Drive,Kingsclear,NB,E3E,T1E,45.8134,-66.932
7994 Andover Court,Cumberland,ON,K4C,X8B,45.5177,-75.4108
790 Devon Rd,Shediac,NB,E4P,X2P,46.2165,-64.5128
828 Richardson Dr,Gagetown,NB,E5M,X1R,45.6287,-66.1751
9297 S Gulf Street,Baker Brook,NB,E7A,E9X,47.2542,-68.7211
403 High St,Plessisville,QC,G6L,V9K,46.2255,-71.7779
9693 Canterbury St,La Tuque,QC,G9X,S8M,47.4583,-72.7729
215 Fairview St,Carbonear,LB,A1Y,M3G,48.9268,-55.6613
831 Virginia Court,Carbonear,LB,A1Y,L2G,48.9268,-55.6613
8355 W Green Lane,Norton,NB,E5T,L2Y,45.6769,-65.884
66 Lookout Street,Truro,NS,B2N,V9T,45.3486,-63.3029
8 Water St,Hampton,NB,E5N,H0K,45.5263,-65.8155
841 Westminster St,Swift Current,SK,S9H,C4K,50.2875,-107.8113
769 San Juan Dr,Durham Bridge,NB,E6C,X2P,45.9523,-66.6717
22 Glen Eagles St,Caraquet,NB,E1W,A2E,47.7624,-65.0324
9913 Brandywine St,Corner Brook,LB,A2H,Y7B,48.9654,-57.9225
4 Sheffield Lane,Tecumseh Outskirts,ON,N8N,A3R,42.3326,-82.8926
86 Hilldale Lane,St. Andrews,NB,E5B,K3X,45.0732,-67.0428
87 Edgefield St,Cowansville,QC,J2K,G8L,45.2214,-72.7567
8000 Selby Dr,Wallaceburg,ON,N8A,Y0X,42.5799,-82.3823
7637 Trusel St,Bouctouche,NB,E4S,A9L,46.4171,-64.9241
43 Wilson Lane,Pennfield,NB,E5H,V0K,45.0766,-66.77
7424 Green Dr,Prince Rupert,BC,V8J,J2C,54.3146,-130.3413
66 Lexington Street,Red Deer County,AB,T4E,M0C,52.2911,-113.7027
9853 Main Drive,The Pas,MB,R9A,E9J,53.8228,-101.2356
8208 Center St,Dorval Outskirts,QC,H9P,M1G,45.4617,-73.7305
158 State Dr,Carbonear,LB,A1Y,V1P,48.9268,-55.6613
7997 Ketch Harbour Street,Chestermere,AB,T1X,X0P,51.0512,-113.8155
317 East Purple Finch Lane,Greenfield Park,QC,J4V,R2A,45.4926,-73.4473
9712 Jockey Hollow Ave,Pennfield,NB,E5H,Y0B,45.0766,-66.77
116 North South Ave,Prince Rupert,BC,V8J,X7K,54.3146,-130.3413
761 South Valley St,Dryden,ON,P8N,H4G,49.7856,-92.8364
8 Brown St,Riverview,NB,E1B,C1T,46.0738,-64.755
78 NW San Carlos St,Burtts Corner,NB,E6L,E0E,46.12,-66.9477
12 Hillside Drive,St. Martins,NB,E5R,B5A,45.3849,-65.6331
7053 Prairie St,Owen Sound,ON,N4K,V0C,44.5519,-80.9385
97 N Sage Ave,Orillia,ON,L3V,R3Y,44.6039,-79.4126
907 Hilldale St,Quesnel,BC,V2J,R5G,52.9692,-122.5057
8358 Courtland Ave,Gagetown,NB,E5M,X3B,45.6287,-66.1751
9625 Summerhouse Dr,Place Desjardins,QC,H5B,K5B,45.5066,-73.5623
919 Princeton Road,Campbellton,NB,E3N,S8X,48.0091,-66.6707
34 Ridge Court,Boucherville,QC,J4B,M9C,45.5685,-73.423
9807 S Buttonwood St,Kitimat,BC,V8C,K5J,54.0662,-128.6508
961 Wilson Court,Renfrew,ON,K7V,N5B,45.4779,-76.6731
93 Brickyard St,Wainwright,AB,T9W,G1H,52.8403,-110.8704
459 Linda Rd,Sussex,NB,E4E,V2M,45.7223,-65.5108
380 Shore St,Sidney,BC,V8L,C3S,48.6128,-123.4198
3 Golf St,St. Albert,AB,T8N,E9K,53.6199,-113.6377
762 West Roberts St,Fort St. John,BC,V1J,E4A,56.2306,-120.8277
735 Trenton Lane,Chestermere,AB,T1X,B6R,51.0512,-113.8155
524 Fawn Ave,Buena Vista,SK,S2V,C9S,50.7763,-104.9291
280 Grant Street,Black Lake,QC,G6H,K5G,46.0654,-71.356
161 Rockaway Dr,Sackville,NB,E4L,N5S,45.8919,-64.3699
177 West Edgefield St,Louisbourg,NS,B1C,H4T,46.2152,-60.2452
377 West Greenrose Rd,Buckingham,QC,J8L,V7J,45.599,-75.4206
47 Walt Whitman Street,Pierrefonds,QC,H8Z,T9J,45.5135,-73.8389
22 Bald Hill Ave,Laterrière,QC,G7N,V7V,48.3084,-71.1104
9277 Lakeview Street,Hampstead,QC,H3X,K6K,45.4915,-73.6483
8763 NE Belmont Dr,Wainwright,AB,T9W,H7S,52.8403,-110.8704
312 Evergreen St,Winfield,BC,V4V,C3L,50.0734,-119.4444
9924 Young St,Fort St. John,BC,V1J,X0K,56.2306,-120.8277
8895 Buckingham Avenue,Beresford,NB,E8K,A7B,47.6736,-65.6795
9958 Peg Shop Drive,Laterrière,QC,G7N,B0M,48.3084,-71.1104
59 Windsor St,Norton,NB,E5T,K2B,45.6769,-65.884
9560 East Oak Court,La Baie,QC,G7B,V4B,48.3133,-70.8557
9433 Foster St,Kingston,ON,E5S,Y7B,45.3571,-66.0858
5 Walnutwood Street,Belledune,NB,E8G,J6V,47.8741,-65.9102
44 Meadowbrook Court,Whitecourt,AB,T7S,G8L,54.1407,-115.6873
7017 Glen Creek Court,Caledon,ON,L7C,Y8E,43.7467,-79.8304
1 E Vernon St,Collingwood,ON,L9Y,M0V,44.5029,-80.2176
124 Grove Lane,Kedgwick,NB,E8B,T5M,47.6454,-67.3437
2 Arnold Court,Owen Sound,ON,N4K,C6V,44.5519,-80.9385
9747 Courtland Lane,Old Montreal,QC,H2Y,T1V,45.508,-73.554
64 Westminster Street,Lloydminster,AB,T9V,R8E,53.2786,-110.0233
29 St Margarets Dr,Laterrière,QC,G7N,H0E,48.3084,-71.1104
9219 South Glenwood St,Camrose,AB,T4V,H4N,53.0204,-112.8129
9539 Sleepy Hollow Ave,Salisbury,NB,E4J,V3X,45.9787,-64.9898
749 Proctor Ave,Torbay,LB,A1K,N6X,47.6542,-52.7367
585 Devon Drive,Aurora,ON,L4G,V8K,43.9909,-79.4639
317 Mammoth Ave,Arnprior,ON,K7S,V9G,45.4238,-76.3624
9245 Thorne St,Gananoque,ON,K7G,Y4L,44.3319,-76.1471
50 Del Monte St,Plaster Rock,NB,E7G,A7L,46.9097,-67.3971
44 Trout Court,Chambly,QC,J3L,E3R,45.4694,-73.289
22 North Randall Mill St,Castlegar,BC,V1N,A3N,49.3298,-117.6607
21 Shub Farm Ave,Marieville,QC,J3M,X7X,45.4355,-73.1738
216 Pheasant Rd,Sylvan Lake,AB,T4S,C9H,52.3083,-114.0949
8020 Spring Street,Hinton,AB,T7V,M9C,53.3981,-117.5552
580 53rd Ave,Dominion,NS,B1G,L5B,46.2063,-60.0255
241 Pierce Road,Rogersville,NB,E4Y,L2J,46.7333,-65.4489
967B Newport Lane,St. Martins,NB,E5R,S4N,45.3849,-65.6331
14 Prince St,Enfield,NS,B2T,R6V,44.8488,-63.5999
8919 S Pineknoll Drive,Thompson,MB,R8N,B6J,55.7428,-97.8779
968 S Brickyard Drive,La Sarre,QC,J9Z,N1R,48.8131,-79.2026
9914 South Rockwell Lane,Maple,ON,L6A,V0S,43.857,-79.514
9440 Water Ave,Kirkland Lake,ON,P2N,J8C,48.151,-80.0328
95 Boston Street,Parry Sound,ON,P2A,B2X,45.3405,-80.0365
8360 Primrose Dr,Youngs Cove,NB,E4C,L7A,45.808,-65.9652
8627 Park Street,Stouffville,ON,L4A,N0C,43.9707,-79.2503
788 Jones St,Leamington,ON,N8H,X2X,42.0606,-82.6029
156 Manhattan Ave,L'Assomption,QC,J5W,J3E,45.8313,-73.4233
397 Redwood St,Boucherville,QC,J4B,V4P,45.5685,-73.423
8824 High Ridge St,Chambly,QC,J3L,E0J,45.4694,-73.289
9671 Penn St,Glace Bay,NS,B1A,L6V,46.1794,-59.9477
58 Oakland Rd,Kingston,ON,E5S,V0H,45.3571,-66.0858
89 Rockville St,Yorkton,SK,S3N,B0X,51.202,-102.457
744 E Birchpond St,Donnacona,QC,G3M,A6K,46.6725,-71.7368
15 Elmwood Street,Stouffville,ON,L4A,L6E,43.9707,-79.2503
93 Pleasant Street,Tillsonburg,ON,N4G,J9V,42.8806,-80.7527
7 East La Sierra Drive,Chestermere,AB,T1X,B2C,51.0512,-113.8155
9742 Leatherwood Street,Shediac,NB,E4P,E5H,46.2165,-64.5128
94 Ann Lane,Sioux Lookout,ON,P8T,A5P,50.0885,-91.9086
8792 Euclid Lane,Pintendre,QC,G6C,N7A,46.7557,-71.124
72 Cobblestone Court,Powell River,BC,V8A,G6J,49.8021,-124.5124
49 NW Honey Creek Street,Clermont,QC,G4A,P7C,47.695,-70.2239
747 Bishop Ave,Enfield,NS,B2T,B3L,44.8488,-63.5999
393 Fairfield St,Pierrefonds,QC,H8Z,C7A,45.5135,-73.8389
8539 W Henry Smith Street,Hanover,ON,N4N,L0S,44.1385,-81.0237
8445 West Ohio Lane,Dalhousie,NB,E8C,N3S,48.0477,-66.4004
9865 Oak Valley St,Laterrière,QC,G7N,P8A,48.3084,-71.1104
529 E Brickell Street,Canterbury,NB,E6H,B4K,45.7207,-67.6516
30 Westport Lane,Corner Brook,LB,A2H,C7C,48.9654,-57.9225
77 Bradford Drive,Banff,AB,T1L,X5Y,51.1791,-115.5697
267 Cedarwood St,Fort Erie,ON,L2A,H1P,42.8845,-78.9398
9974 Albany Ave,Amos,QC,J9T,T9G,48.5837,-78.1002
536 Monroe Drive,Bromont,QC,J2L,C4Y,45.3161,-72.6501
57 Baker Lane,Baden,ON,N3A,M4T,43.4161,-80.688
488 Hill Street,Edmundston,NB,E3V,M2G,47.3614,-68.3218
73 Swanson St,Essex,ON,N8M,N8S,42.1754,-82.8226
12 North 1st Street,Shippagan,NB,E8S,K7T,47.7456,-64.7143
9665 Johnson Drive,Inkerman,NB,E8P,P1R,47.6656,-64.9543
6 Mulberry Rd,Montmagny,QC,G5V,H0M,46.9984,-70.5595
939 South Brewery Court,Boucherville,QC,J4B,A7S,45.5685,-73.423
9381 S James Rd,St. Stephen,NB,E3L,H7M,45.1728,-67.2946
19 Sussex Lane,Louiseville,QC,J5V,A7Y,46.2675,-72.9382
702 Longbranch Road,Keswick,ON,L4P,M6L,44.2421,-79.4818
648 Stillwater Lane,Gander,LB,A1V,K4M,48.9632,-54.6169
50 Monroe Ave,Dawson Creek,BC,V1G,P6T,55.7741,-120.2533
13 Bridle Rd,Aurora,ON,L4G,L7K,43.9909,-79.4639
50 Golden Star  St,Hébertville,QC,G8N,G9M,48.3942,-71.6775
715 Ocean St,King City,ON,L7B,P6Y,43.9327,-79.5104
8209 Green Hill St,Brockville,ON,K6V,B1M,44.5906,-75.6808
9 South Pierce Street,Norton,NB,E5T,C4R,45.6769,-65.884
247 Maple Lane,Iona,NS,B2C,N7T,45.6218,-62.0004
512 Andover Street,Wolfville,NS,B4P,R0C,45.0917,-64.3599
527 Depot Street,Thompson,MB,R8N,B6G,55.7428,-97.8779
690 Lake Forest Ave,Harrietsfield,NS,B3V,P3C,44.5682,-63.6177
895 Smith St,Salmon Arm,BC,V1E,M0C,50.6947,-119.2915
797 Trout Ave,Port Alberni,BC,V9Y,K7G,49.2197,-124.8101
78 E East Rd,Beaconsfield,QC,H9W,G4X,45.4407,-73.8727
7574 Colonial Ave,Goderich,ON,N7A,M6T,43.7347,-81.7105
636 Saxon Street,Louiseville,QC,J5V,S5N,46.2675,-72.9382
349 Walnut St,L'Épiphanie,QC,J5X,E2S,45.8508,-73.4824
8396 Lakewood St,Cedar,BC,V9X,N8G,49.1207,-123.9284
74 Prairie St,Yarmouth,NS,B5A,P6P,43.8245,-66.1207
9238 Blackburn Lane,Cartier,MB,R4K,Y8V,49.8298,-97.7549
67 Old Linda Avenue,Plaster Rock,NB,E7G,A9N,46.9097,-67.3971
21 Vermont Street,Weyburn,SK,S4H,V7E,49.6719,-103.8491
8172 Hillside St,Port Alberni,BC,V9Y,A6G,49.2197,-124.8101
65 Marlborough Lane,Grand Manan Island,NB,E5G,K6H,44.6586,-66.8625
694 Marlborough Ave,Louisbourg,NS,B1C,B0B,46.2152,-60.2452
9140 Williams St,Plaster Rock,NB,E7G,P4P,46.9097,-67.3971
7342 Sleepy Hollow Drive,Gravenhurst,ON,P1P,A3R,44.9451,-79.3549
332 South Wilson Ave,Sussex,NB,E4E,Y4R,45.7223,-65.5108
634 SE Stillwater Rd,Stouffville,ON,L4A,L2J,43.9707,-79.2503
672 Peg Shop Road,Burtts Corner,NB,E6L,B1C,46.12,-66.9477
378 Warren Dr,Leamington,ON,N8H,H4T,42.0606,-82.6029
9408 North Ridgewood Street,Brooks,AB,T1R,J0G,50.5659,-111.8896
473 College St,Port Moody,BC,V3H,C3K,49.2707,-122.883
81 San Pablo St,Kingston,ON,E5S,N3C,45.3571,-66.0858
355 Tunnel St,Listowel,ON,N4W,S7X,43.7315,-80.9533
9445 Broad Street,Olds,AB,T4H,X3A,51.7956,-114.0944
225 Wood Drive,Prince Rupert,BC,V8J,G6K,54.3146,-130.3413
8397 Hawthorne Drive,Iona,NS,B2C,H7C,45.6218,-62.0004
13 Greenview Ave,McAdam,NB,E6J,A2B,45.5927,-67.2973
8151 Vernon Street,Uxbridge,ON,L9P,J9B,44.1065,-79.1427
669 Glen Eagles St,Belledune,NB,E8G,S6P,47.8741,-65.9102
7541 Spring Road,Banff,AB,T1L,H6M,51.1791,-115.5697
7503 Oakwood Avenue,Dryden,ON,P8N,P2V,49.7856,-92.8364
6 Court Ave,Coldbrook,NS,B4R,E6T,44.3695,-64.5197
78 Amherst Street,Hampstead,QC,H3X,J3L,45.4915,-73.6483
471 Manor Station Ave,Antigonish,NS,B2G,X8X,45.6243,-61.9996
415 Smith Street,Orillia,ON,L3V,M6M,44.6039,-79.4126
9575 Pulaski Street,Napanee,ON,K7R,S5C,44.2538,-76.943
9232 S White Dr,Duvernay,QC,H7E,R2X,45.6142,-73.669
94 South Cedarwood Drive,Yellowknife,NT,X1A,K8Y,62.4725,-114.3417
7170 Brandywine Drive,Williams Lake,BC,V2G,C2J,52.1276,-122.1271
626 Annadale St,Campbellton,NB,E3N,M4Y,48.0091,-66.6707
558 Fairfield Court,Greely,ON,K4P,J7E,45.258,-75.5762
594 Valley St,St. Stephen,NB,E3L,T8K,45.1728,-67.2946
97 Beach Court,Sioux Lookout,ON,P8T,B6B,50.0885,-91.9086
2 East Vine Ave,Brooks,AB,T1R,R2N,50.5659,-111.8896
316 Iroquois Dr,Olds,AB,T4H,G0C,51.7956,-114.0944
32 Wall Drive,Iona,NS,B2C,M7N,45.6218,-62.0004
58 Brickyard Street,Lavaltrie,QC,J5T,C3A,45.905,-73.2594
83 North Street,Old Montreal,QC,H2Y,E3X,45.508,-73.554
524 Glen Creek Rd,Dryden,ON,P8N,K5K,49.7856,-92.8364
8210 Brandywine Circle,Eskasoni,NS,B1W,H1K,45.9245,-60.6449
8488 Jockey Hollow Lane,Thetford Mines,QC,G6G,Y2X,46.1134,-71.3108
9257 Glen Eagles Drive,Acton,ON,L7J,K5V,43.634,-80.0491
944 King Ave,Old Montreal,QC,H2Y,N2K,45.508,-73.554
200 Plumb Branch Drive,L'Assomption,QC,J5W,J1H,45.8313,-73.4233
397 Richardson Avenue,Kincardine,ON,N2Z,H8R,44.1821,-81.6373
149 Liberty Street,Cowansville,QC,J2K,J4A,45.2214,-72.7567
7349 Sycamore St,La Malbaie,QC,G5A,E9N,47.6259,-70.0967
1 Randall Mill St,Yorkton,SK,S3N,J6L,51.202,-102.457
238 Sherman Road,Hochelaga,QC,H1W,N4R,45.5423,-73.5616
8 Ridgeview St,Richibucto,NB,E4W,X8J,46.6493,-64.8842
36 South Prospect Ave,Maisonneuve,QC,H1V,P5T,45.5702,-73.551
9 La Sierra Road,Fort St. John,BC,V1J,N8E,56.2306,-120.8277
909 East New Saddle Court,Florenceville,NB,E7L,C6M,46.4418,-67.63
68 W Corona Drive,Paradise,LB,A1L,X6S,47.5363,-52.8389
80 Magnolia Road,Selkirk,MB,R1A,X1X,50.1483,-96.8756
7131 Leeton Ridge Lane,Bridgewater,NS,B4V,T2R,44.3683,-64.506
8432 Beach Drive,Maniwaki,QC,J9E,N7H,46.3741,-75.9823
7026 W Madison Dr,Port Hope,ON,L1A,S7X,43.9427,-78.2944
9497 Redwood St,Beauharnois,QC,J6N,S3P,45.3577,-73.7851
8658 Rockaway Avenue,Whitecourt,AB,T7S,M8J,54.1407,-115.6873
131 Pleasant Ave,Leduc,AB,T9E,H5V,53.2524,-113.5388
8485 Peg Shop Lane,Pitt Meadows,BC,V3Y,Y1R,49.2273,-122.6883
155 Liberty Road,Espanola,ON,P5E,V9N,46.2629,-81.7719
9382 Anderson Road,Carleton Place,ON,K7C,G2T,45.135,-76.1313
59 Halifax Street,Mercier,QC,J6R,K0H,45.3063,-73.748
640 Mayfield Street,Tillsonburg,ON,N4G,P7E,42.8806,-80.7527
9192 Gates St,Yorkton,SK,S3N,J8G,51.202,-102.457
577 Academy Court,Bouctouche,NB,E4S,S7S,46.4171,-64.9241
135 Sage Ave,Ladysmith,BC,V9G,P7T,50.089,-125.3444
7346 Goldfield St,Renfrew,ON,K7V,J6C,45.4779,-76.6731
433 North Roehampton Street,Fort Frances,ON,P9A,M7A,48.6075,-93.3869
908 Swanson Ave,Meaford,ON,N4L,G3X,44.6079,-80.5922
420 Victoria St,Tantallon,NS,B3Z,C3A,44.5539,-63.8307
5 Coffee St,Chambly,QC,J3L,J4T,45.4694,-73.289
538 Glenwood Lane,Listowel,ON,N4W,N0A,43.7315,-80.9533
68 Armstrong Dr,Kentville,NS,B4N,S7N,45.0899,-64.4963
9287 W Race Street,Mercier,QC,J6R,G2L,45.3063,-73.748
523 Windfall Avenue,Lockport,MB,R1B,G7H,50.0958,-96.9329
54 Pumpkin Hill Street,Coaticook,QC,J1A,G9X,45.1563,-71.8095
162 West Virginia St,Bracebridge,ON,P1L,C4N,45.057,-79.3366
8470 South Hanover Road,New Waterford,NS,B1H,A4P,46.2295,-60.0941
963 S High Noon St,Grimsby,ON,L3M,G2M,43.2005,-79.6292
438 Cypress Street,Amos,QC,J9T,A4C,48.5837,-78.1002
9816 Augusta Street,Paradise,LB,A1L,P6H,47.5363,-52.8389
97 Bayport Court,Shippagan,NB,E8S,R4T,47.7456,-64.7143
7644 Annadale Lane,Paris,ON,N3L,H4N,43.1834,-80.3749
64 2nd Street,Aylmer,ON,N5H,B8H,42.7797,-80.9864
88 Westminster Lane,Joliette,QC,J6E,Y5N,46.0551,-73.432
7930 Wagon Dr,Chatham,QC,J8G,V2V,45.6068,-74.4387
391 Thatcher Road,Ste. Anne,MB,R5H,A1T,49.6667,-96.648
519 La Sierra Dr,Doaktown,NB,E9C,M2X,46.4477,-66.2584
99 Green Lake Avenue,Smiths Creek,NB,E4G,N8L,45.9078,-65.5334
9641 Pearl St,Hampstead,QC,H3X,C3T,45.4915,-73.6483
27 South Vine Lane,Senneville,QC,H9K,L4H,45.4643,-73.8936
25 Pennsylvania Drive,Laterrière,QC,G7N,P2M,48.3084,-71.1104
2 Trenton Drive,Hébertville,QC,G8N,G3J,48.3942,-71.6775
9351 Andover St,Coaticook,QC,J1A,A6V,45.1563,-71.8095
8218 Railroad Ave,Paradise,LB,A1L,C3J,47.5363,-52.8389
450 Richardson St,Clermont,QC,G4A,X6L,47.695,-70.2239
23 South Cooper Street,Deer Lake,LB,A8A,M0G,49.1778,-57.413
465 Rock Creek Ave,Paradise,LB,A1L,G8X,47.5363,-52.8389
264 S Helen Street,Christmas Island,NS,B1T,L6C,46.1122,-60.2372
